Smiles	p_value_original	p_value_trained	active_entry_original	inactive_entry_original	active_entry_trained	inactive_entry_trained	category	accuracy
N(=C(C=C)NC)C	7,4E-57	2,8E-65	252.0	8.0	257.0	3.0	0	0.9441153846153861
CCC1(C)(CCC(C)(C)CC1(C))	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.9533333333333335
OC=1C=CCC(=C)C=1CN	0,0128	0,01238	7.0	0.0	7.0	0.0	0	0.8914285714285715
N#CCCN	9,8E-17	4,7E-30	103.0	12.0	114.0	1.0	0	0.9023478260869565
N=C(C(=CC)SC)C	2,9E-16	7,8E-21	89.0	8.0	93.0	4.0	0	0.9065979381443295
null	0E0	0,00189	0.0	0.0	10.0	0.0	0	0.85
null	0E0	0,00067	0.0	0.0	29.0	7.0	0	0.8525
N=N	0,00031	0,00029	13.0	0.0	13.0	0.0	7	0.8676923076923077
O=C(N1CCC(CC)(CC)CC1)CO	0,00005	0E0	28.0	4.0	0.0	0.0	5	0.0
O=C(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)N3CCC2(CN(C(=C)C)CCC2)(CC3)	0,02386	0E0	6.0	0.0	0.0	0.0	5	0.0
O=C(O)C(C=C)=C(O)C	0,0035	0,00007	17.0	3.0	19.0	1.0	7	0.75
O=S(=O)(O)O	0,00001	0,00001	18.0	0.0	18.0	0.0	7	0.8655555555555554
null	0E0	0,00861	0.0	0.0	17.0	4.0	0	0.809047619047619
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.735
OC(C)C(O)C(C)(C)C	0,0128	0,01238	7.0	0.0	7.0	0.0	7	0.9285714285714286
C=1C=C(C=CC=1CN(C)C)Cl	0,0128	0,01238	7.0	0.0	7.0	0.0	0	0.8057142857142858
O=C(C(C=C)=CC)N2CCC1(CN(C(N=C)=NC)CCC1)(CC2)	0,00687	0,00661	8.0	0.0	8.0	0.0	0	0.71
N=C(O)C(CN)CC	0,00687	0,00661	8.0	0.0	8.0	0.0	7	0.8599999999999999
null	0E0	0,03126	0.0	0.0	8.0	1.0	0	0.7622222222222222
null	0E0	0,01238	0.0	0.0	7.0	0.0	0	0.6328571428571428
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.7916666666666666
O=C(OCCN)C(=C)C	0,02151	0,00029	11.0	2.0	13.0	0.0	0	0.8638461538461539
O=C(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)N3CCC2(CNC2)CC3	0,00019	0E0	30.0	6.0	0.0	0.0	5	0.0
null	0E0	0,01238	0.0	0.0	7.0	0.0	0	0.7585714285714286
