Smiles	p_value_original	p_value_trained	active_entry_original	inactive_entry_original	active_entry_trained	inactive_entry_trained	category	accuracy
C=C(C=1C=CC=C(C=1)N(C)C)C	0,00002	3,41E-6	42.0	9.0	43.0	8.0	0	0.8007843137254903
OC=2C=CC1=CC=CC=C1C=2CN	0,0128	0E0	7.0	0.0	0.0	0.0	2	0.0
C#CCCC	0,01114	0E0	10.0	1.0	0.0	0.0	2	0.0
NC1CCNCC1	0,00063	0,00007	18.0	2.0	19.0	1.0	0	0.8915000000000001
OC=1C=CC(=CC=1(OC(=C)C))CC(N)C	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.9
CC1C(C)C1(C)(C)	0,02386	0,02319	6.0	0.0	6.0	0.0	0	0.7766666666666667
N=C(C(=C(C)[Si])CN)C	0,01905	0,00189	9.0	1.0	10.0	0.0	0	0.8600000000000001
O=S(=O)(O)C1=CC=CC(=C1)C	0,00687	0E0	8.0	0.0	0.0	0.0	5	0.0
null	0E0	6,52E-9	0.0	0.0	61.0	10.0	0	0.8159154929577465
N1CCN(C)CC1	3,6E-38	1,1E-15	245.0	28.0	137.0	28.0	0	0.836666666666666
C1=CC=C(C=C1)NS	5,2E-21	3,6E-21	75.0	0.0	75.0	0.0	0	0.9532000000000002
OC(C)C(OC)C(O)(C)C	0,00373	0,00029	12.0	1.0	13.0	0.0	7	0.9076923076923076
O=C(OC)C1CC1(C)	0,00164	0E0	23.0	5.0	0.0	0.0	2	0.0
O(C1=CC=CC=C1CC)C	0,00215	0,00203	13.0	1.0	13.0	1.0	0	0.9378571428571428
null	0E0	0,01265	0.0	0.0	12.0	2.0	0	0.8042857142857143
N1=CC=CC(=C1)NC	0,02386	0E0	6.0	0.0	0.0	0.0	2	0.0
O=C(C(OC)=C(O)C)C	0,02386	0E0	6.0	0.0	0.0	0.0	2	0.0
OC1=CC=CC(=C1)C(C=C)=CC	7,28E-6	6,65E-6	19.0	0.0	19.0	0.0	0	0.958947368421053
N=C(O)N1CC2(C1)(CCN(C)CC2)	0,00006	0E0	37.0	8.0	0.0	0.0	5	0.0
null	0E0	0,00008	0.0	0.0	38.0	9.0	0	0.8287234042553189
N=C(N)N1CCNCC1	4,2E-38	2,5E-41	170.0	6.0	172.0	4.0	0	0.9251136363636371
O=C(NC1=CC=C(O)C=C1)N2CC3(C2)(CCNCC3)	0,00005	0E0	16.0	0.0	0.0	0.0	5	0.0
FC(F)(F)C1=CC=C(C=C1)C(O)C	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.59
null	0E0	7,1E-10	0.0	0.0	63.0	9.0	0	0.7862499999999997
C=C1C(=CC)CCNC1	0,00687	0,00661	8.0	0.0	8.0	0.0	7	0.83125
O=S(=O)(N)C=1C=C(C(=CC=1(N))Cl)S(=O)(=O)N	0,03233	0,00353	8.0	1.0	9.0	0.0	7	0.8455555555555556
null	0E0	1,18E-9	0.0	0.0	67.0	11.0	0	0.8088461538461538
O=S(=O)(C1=CC=C(N=C(O)C)C=C1)C	0,01905	0E0	9.0	1.0	0.0	0.0	5	0.0
null	0E0	0,00002	0.0	0.0	41.0	9.0	0	0.7638000000000001
OC1=CC=C(NC)C(=C1)C	1,5E-13	0,03319	83.0	10.0	10.0	2.0	0	0.795
C=CCCCCCCC	0,00123	0,0077	14.0	1.0	13.0	2.0	0	0.8113333333333332
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.7316666666666668
null	0E0	0,00008	0.0	0.0	15.0	0.0	0	0.7560000000000002
O=C(O)CC(O)C	0,00096	0,00088	22.0	4.0	22.0	4.0	7	0.8088461538461538
OC1=CC=C(C=C1CN(C(=C)C)CC)C(C)(C)C	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.7999999999999999
N(C)(C)C1CCCC1	0,02386	0E0	6.0	0.0	0.0	0.0	2	0.0
C=C(C1=CC=CC=C1C)Cl	0,02386	0,02319	6.0	0.0	6.0	0.0	0	0.7866666666666666
O=C(N2CCC1(CN(CC)CCC1)(CC2))CO	0,00057	0,00054	12.0	0.0	12.0	0.0	7	0.8866666666666667
C=C(C=1C=CC=C(C=1C)Cl)S	0,02386	0E0	6.0	0.0	0.0	0.0	2	0.0
null	0E0	0,00617	0.0	0.0	11.0	1.0	0	0.7708333333333334
FC(C(=CC)C(C)(C)C)C	0,0128	0,01238	7.0	0.0	7.0	0.0	7	0.9357142857142857
C=C(C)C(C=CCC)NC	0,00106	0,00101	11.0	0.0	11.0	0.0	0	0.8972727272727272
N=C(O)C(=CC)SC	0,01905	0,00189	9.0	1.0	10.0	0.0	0	0.849
O=C1OCC(=C1)C	0,00373	0,00029	12.0	1.0	13.0	0.0	7	0.9492307692307692
C=C(C(N)=C(C)C)C	0,02386	0,02319	6.0	0.0	6.0	0.0	0	0.7749999999999999
NC1=CC=CC=C1C	0,00373	0E0	12.0	1.0	0.0	0.0	5	0.0
O=S(=O)(N)C(=CC)C(=C)N	0,02386	0E0	6.0	0.0	0.0	0.0	5	0.0
C=C(N)C=C(C)Cl	0,00391	0E0	21.0	5.0	0.0	0.0	2	0.0
O=C(O)CC	0,00373	0,00029	12.0	1.0	13.0	0.0	7	0.9069230769230768
null	0E0	5,51E-7	0.0	0.0	56.0	12.0	0	0.8174999999999999
FC(F)(C)C	0,00687	0,00661	8.0	0.0	8.0	0.0	7	0.9500000000000001
C=CSC(=C)C	2,9E-39	1,7E-43	244.0	26.0	248.0	22.0	0	0.9100740740740749
OC(=NC(CO)CC)C(C)C	0,00004	0E0	26.0	3.0	0.0	0.0	5	0.0
C=2C=C1NC=C3C1=C(C=2)C4CC(C)CN(C)C4(C3)	0,0128	0,01238	7.0	0.0	7.0	0.0	7	0.8485714285714285
OC(C)(C)C(CC)C(N)C	0,00057	0,00054	12.0	0.0	12.0	0.0	7	0.9100000000000001
C=1C=C(C=CC=1C)CN2CCC2	0,00647	0,00054	11.0	1.0	12.0	0.0	7	0.835
OC(=NC1=CC=CC(=C1)C)N3CCC2(CCNCC2)CC3	0,00687	0E0	8.0	0.0	0.0	0.0	5	0.0
O=S(=O)(NCCC)C1=CC=CC(=C1(C=C))C	0,0345	0,03319	10.0	2.0	10.0	2.0	0	0.8033333333333333
OC(C)C(N=C)C(O)C	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.9566666666666667
O=S(=O)(CC)CC	0,00198	0E0	10.0	0.0	0.0	0.0	5	0.0
C=C(C(=CC)C1=CC=CC(=C1)C)Cl	0,00687	0E0	8.0	0.0	0.0	0.0	2	0.0
O1C=2C=CC(=CC=2(OC1))C(=C)C	5,00E-8	0E0	27.0	0.0	0.0	0.0	2	0.0
null	0E0	0,01265	0.0	0.0	12.0	2.0	0	0.8042857142857143
N1=CC=CC(=C1)C(=C)C	5,00E-8	4,40E-8	27.0	0.0	27.0	0.0	0	0.9333333333333336
OC(=C)C(=CC)C1=CC=CC(=C1)C	0,00003	0E0	17.0	0.0	0.0	0.0	2	0.0
O=C(N3CCC2(CCN(C1=CC=NC=C1)CC2)CC3)C	0,01327	0E0	12.0	2.0	0.0	0.0	5	0.0
OC(=C)C(=CC)CCN(C)C	0,00057	0,00054	12.0	0.0	12.0	0.0	0	0.9558333333333335
null	0E0	0,00166	0.0	0.0	16.0	2.0	0	0.84
null	0E0	0,03319	0.0	0.0	10.0	2.0	0	0.795
[O-]C.[Sb+].[H].[H]	0,00198	0,00189	10.0	0.0	10.0	0.0	7	0.924
null	0E0	0,00098	0.0	0.0	17.0	2.0	0	0.813157894736842
O=C(O)C(CC)CC	0,02151	0,0206	11.0	2.0	11.0	2.0	7	0.8246153846153845
null	0E0	0,00279	0.0	0.0	15.0	2.0	0	0.7535294117647059
C=CC(=CC)NC(=CC)C(=C)C	0,02386	0,02319	6.0	0.0	6.0	0.0	0	0.77
O=C(C1=CC=C(OC)C=C1)N3CCC2(CN(CC)CCC2)(CC3)	0,0128	0,01238	7.0	0.0	7.0	0.0	7	0.7871428571428571
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.7183333333333333
NCCN(C)C	0,00007	0,00224	22.0	2.0	20.0	4.0	7	0.7883333333333334
null	0E0	0,01834	0.0	0.0	9.0	1.0	0	0.7949999999999999
N=C(O)C(N=C(O)C(N)C)CC	0,00007	0E0	22.0	2.0	0.0	0.0	5	0.0
O=C(OC(C=C)=CC)N2CCC1(CN(C(=N)O)CCC1)(CC2)	0,00198	0E0	10.0	0.0	0.0	0.0	2	0.0
OCOC(=C)C	5,4E-25	5,5E-34	202.0	35.0	213.0	24.0	0	0.874472573839663
O=C(N(C(=N)C)CCOC)C	9,3E-31	0E0	123.0	2.0	0.0	0.0	2	0.0
OC(C)C(O)(C)CC	0,0128	0,01238	7.0	0.0	7.0	0.0	7	0.9071428571428571
N1(C)CCN(CC1)C(C)C	0,00592	0E0	18.0	4.0	0.0	0.0	5	0.0
OC(=C)C(=CC)C(=C)N	0,00009	0,00008	15.0	0.0	15.0	0.0	0	0.8786666666666668
NC=CSC	2,08E-6	1,9E-12	49.0	10.0	56.0	3.0	7	0.8654237288135594
CCC1CCC(C)CC1(C)(C)	0,0003	0E0	29.0	6.0	0.0	0.0	5	0.0
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.6699999999999999
null	0E0	1,2E-22	0.0	0.0	164.0	25.0	0	0.8131746031746026
null	0E0	0,00353	0.0	0.0	9.0	0.0	0	0.7477777777777778
FC(F)(F)C1=CC=CC=C1(C(N=C)=CC)	0,00031	0,00029	13.0	0.0	13.0	0.0	0	0.9492307692307693
null	0E0	2,17E-6	0.0	0.0	34.0	4.0	0	0.8357894736842105
O=C(N3CCCC2(CN(C(O)=NC1=CC=CC(=C1)C)CC2)(C3))C	0,01114	0E0	10.0	1.0	0.0	0.0	5	0.0
C=C(C)C(NC)C1CC1(CCCC)	0,00037	0E0	19.0	2.0	0.0	0.0	2	0.0
OC(=C)C(C=C)=CC	1,60E-6	1,36E-8	54.0	12.0	57.0	9.0	0	0.8536363636363639
OC1CCCC(C)C1(C(N)C)C(C)C	0,02386	0E0	6.0	0.0	0.0	0.0	5	0.0
O=C(C=1N=NSC=1)N2CCC3(CC2)(CCN(CC)CC3)	0,02386	0E0	6.0	0.0	0.0	0.0	5	0.0
O=C1N(C)C(CC)C2(O)(OC(N=C(O)C(CN)CC)(C(=O)N2(C1CC))C(C)C)	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.84
C=CC(NC)C1=CC=CC=C1	0,00106	0,00101	11.0	0.0	11.0	0.0	0	0.8972727272727272
N#CC=1C=CC=C(C=1)C(=C)C	1,73E-7	1,54E-7	25.0	0.0	25.0	0.0	0	0.9580000000000004
CCC(CC)C(C)C	0,00008	0E0	32.0	6.0	0.0	0.0	5	0.0
NC(C)SC(C)(C)C	0,00001	5,41E-7	22.0	1.0	23.0	0.0	7	0.8965217391304349
O=C(OCC(=C)C)C(O)(C)C	0,0128	0,01238	7.0	0.0	7.0	0.0	7	0.8728571428571429
null	0E0	0,01238	0.0	0.0	7.0	0.0	0	0.7585714285714286
O=P(C1=CC=CC=C1)(C(=C)C)N(C)C	0,00687	0,00661	8.0	0.0	8.0	0.0	7	0.9
null	0E0	0,01238	0.0	0.0	7.0	0.0	0	0.7685714285714286
O(C)CCOCC	3,92E-6	3,52E-6	24.0	1.0	24.0	1.0	7	0.7948000000000001
O=C(OC)N2CC5=C3C(CCC4C(OCC=1C=CC(F)=CC=1C(F)(F)F)OCC2(C)C34)C(CO)C(C)C5C	0,00368	0E0	9.0	0.0	0.0	0.0	2	0.0
OC(C)C(OC)CN	0,00031	0,00029	13.0	0.0	13.0	0.0	7	0.9315384615384618
null	0E0	2,1E-32	0.0	0.0	285.0	55.0	0	0.8683529411764697
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.815
null	0E0	0,00096	0.0	0.0	24.0	5.0	0	0.779310344827586
N=C(O)CC	0,0035	0,00058	17.0	3.0	18.0	2.0	7	0.8404999999999999
null	0E0	0,01238	0.0	0.0	7.0	0.0	0	0.7585714285714286
C1=C(CC)C(C)(C)CC(C)C1	0,00013	0,00001	21.0	2.0	22.0	1.0	7	0.8921739130434784
O=C(C)CC(C)C	0,00005	0,00101	28.0	4.0	26.0	6.0	7	0.8521875000000001
N=NNCC	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.8983333333333334
C1=CC=C(C=C1)C(C2=CC=CC=C2)N4CCC3(CN(C)CCC3)(C4)	0,00022	0,00554	20.0	2.0	18.0	4.0	0	0.7618181818181818
O=C(C(=C)C)N2CCC1(CN(CC)C1)CC2	0,00111	0E0	26.0	6.0	0.0	0.0	5	0.0
O=C(OC(C)(C)C)N1CC4=C2C(CCC3C(OCC)OCC1(C)C23)C(CO)C(COC)C4C	0,00368	0E0	9.0	0.0	0.0	0.0	2	0.0
null	0E0	0,00101	0.0	0.0	11.0	0.0	0	0.8727272727272727
OC(=NC)C(O)C	0,00001	0,00001	22.0	1.0	22.0	1.0	7	0.9243478260869564
O(C)COC	1,3E-10	0E0	102.0	24.0	0.0	0.0	2	0.0
N1=CC=C(C=C1)N2CCC2	0,00031	0,00354	13.0	0.0	12.0	1.0	7	0.8423076923076921
null	0E0	0,00055	0.0	0.0	23.0	4.0	0	0.7755555555555556
null	0E0	0,00279	0.0	0.0	15.0	2.0	0	0.7611764705882352
null	0E0	0,00661	0.0	0.0	8.0	0.0	0	0.7550000000000001
C=C(C(=CC)C(=C)C)C	4,6E-25	4,8E-35	264.0	62.0	279.0	47.0	0	0.8256441717791406
OC(C=CC)C	0,00033	3,00E-6	33.0	8.0	36.0	5.0	7	0.8160975609756098
OCC(C)(C(O)C)C(C)C	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.9216666666666665
O=C(OC)CC	1,80E-7	1,45E-7	59.0	12.0	59.0	12.0	7	0.8260563380281691
O=S(=O)(O)C=1C=C(C=C(C=1(N))C)S	0,0345	0,03319	10.0	2.0	10.0	2.0	0	0.6833333333333332
O=S(=O)(C1=CC=CC=C1)N3CCC2(CN(CC)CCC2)(CC3)	0,01327	0E0	12.0	2.0	0.0	0.0	5	0.0
O=C(C)CC(N)C	0,02195	0,00004	13.0	3.0	16.0	0.0	7	0.789375
FC(F)(F)C1=NC(=N)NC(=C1)C	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.82
O=C(N(C)C)C(O)C	0,02386	0E0	6.0	0.0	0.0	0.0	5	0.0
null	0E0	4,67E-6	0.0	0.0	40.0	7.0	0	0.824255319148936
O=C(N)C1=CC(=C(N1CC2=CC=CC=C2)CC)C	0,02151	0,00029	11.0	2.0	13.0	0.0	7	0.8046153846153847
null	0E0	1,3E-46	0.0	0.0	492.0	114.0	0	0.7969306930693052
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.7866666666666666
OC(=C(OC(C=C)=CC)C=C)C	0,0128	0,01238	7.0	0.0	7.0	0.0	7	0.8557142857142858
C=CC=C(C=CC)C(C(=CC=C)C=CC)N(CCC)CC(CN(C)C)CCC	0,01114	0E0	10.0	1.0	0.0	0.0	2	0.0
N=C(C(C(=C)N)=C(O)C)C	0,00001	0,00001	18.0	0.0	18.0	0.0	0	0.9561111111111111
O=C(C1=CC=CC=C1)N3CCC2(CN(CC)CCC2)(CC3)	0,00016	0E0	14.0	0.0	0.0	0.0	5	0.0
OCC1=CCN2CCC(OC)C12	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.8633333333333333
OC1CC(C)(C)C(CC)C2CCC(=CC)C(C)(C)C12	0,00373	0E0	12.0	1.0	0.0	0.0	5	0.0
FC(F)(F)C(=CC)C(=C)C	2,2E-44	1,1E-63	219.0	12.0	231.0	0.0	0	0.9368831168831177
null	0E0	2,5E-33	0.0	0.0	324.0	70.0	0	0.7988832487309641
C=C(C)C(CC)C(C)(C)C	2,75E-6	2,49E-7	31.0	3.0	32.0	2.0	7	0.8805882352941174
N=C(NC=C)C	3,8E-18	2,5E-20	167.0	35.0	170.0	32.0	0	0.9239108910891092
OC(C)CCN	0,00254	0,00234	22.0	5.0	22.0	5.0	7	0.814814814814815
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.7266666666666667
C(=CCCCC)CCC	0,00198	0,00189	10.0	0.0	10.0	0.0	0	0.852
O=S(=O)(NC(=N)O)C	0,00198	0,00189	10.0	0.0	10.0	0.0	7	0.79
null	0E0	0,01265	0.0	0.0	12.0	2.0	0	0.8342857142857143
OC(OC(=C)C)(C)C	0,01905	0,00189	9.0	1.0	10.0	0.0	7	0.8230000000000001
N(C)(C)CCN(CC)CC	0,02386	0,02319	6.0	0.0	6.0	0.0	0	0.7966666666666667
null	0E0	3,86E-6	0.0	0.0	45.0	9.0	0	0.8394444444444443
null	0E0	3,6E-12	0.0	0.0	114.0	26.0	0	0.7641428571428569
C=C(N)CC(N)C	0,00687	0,00661	8.0	0.0	8.0	0.0	7	0.8700000000000001
C=CC1=C(C(=C)C(=CC)C1)C	0,01114	0,01067	10.0	1.0	10.0	1.0	0	0.8118181818181818
O=C(C=1N=CC=NC=1)N2CCC(CC)(CC)CC2	0,02195	0E0	13.0	3.0	0.0	0.0	5	0.0
O=C(C(C=C)=CC)N1CCC2(CC1)(CCN(C)CC2)	0,00687	0E0	8.0	0.0	0.0	0.0	5	0.0
null	0E0	0,03126	0.0	0.0	8.0	1.0	0	0.7844444444444445
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.57
N=NN	0,00031	0,00029	13.0	0.0	13.0	0.0	7	0.8676923076923077
O=N(O)C1=CN=C(N1C)C	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.8333333333333334
C1=CC=C2C(=C1)C(=C(N2CC)C)C	0,00368	0E0	9.0	0.0	0.0	0.0	2	0.0
O=C(C1=CC2=C(N1CCF)CCC2C)N(C)C	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.7366666666666668
O=C1N(C)CC1(N)	1,6E-10	3,6E-12	41.0	1.0	42.0	0.0	7	0.9088095238095238
null	0E0	0,00861	0.0	0.0	17.0	4.0	0	0.722857142857143
NN(C)CC(C)(C)C	0,02386	0,02319	6.0	0.0	6.0	0.0	0	0.835
N=C(O)C(NC)C(=C)C	0,00687	0,00661	8.0	0.0	8.0	0.0	7	0.8425
O=C(C1=CC=NC=C1)N2CCC3(CC2)(CCN(CC)CC3)	0,0128	0E0	7.0	0.0	0.0	0.0	5	0.0
O1C=2C=CC(=CC=2(OC1))C(=C)N	0,02386	0E0	6.0	0.0	0.0	0.0	2	0.0
O=C(C1=C(O)C(C(O)=C)=C(C)CC1C)C	0,00687	0,00661	8.0	0.0	8.0	0.0	7	0.8987500000000002
O=C(C(=C(O)C)C(C)C)C	0,00063	0,00007	18.0	2.0	19.0	1.0	7	0.8074999999999999
null	0E0	0,00189	0.0	0.0	10.0	0.0	0	0.8160000000000001
null	0E0	0,00002	0.0	0.0	17.0	0.0	0	0.7911764705882354
NC(C)C1(C)(CC1(C(CC)CC))	0,00368	0E0	9.0	0.0	0.0	0.0	5	0.0
N=C(N)C(=NC)Cl	0,0128	0E0	7.0	0.0	0.0	0.0	2	0.0
O=S(=O)(O)C1=CC=C(C=C1)C	0,02151	0E0	11.0	2.0	0.0	0.0	5	0.0
N=C(N)N1CCOCC1	2,4E-12	0E0	88.0	14.0	0.0	0.0	2	0.0
O=C(O)N1CCC2(CC1)(CCN(CC)CC2)	0,00198	0E0	10.0	0.0	0.0	0.0	5	0.0
OC1=CC=CC(=C)C1	0,02386	0,02319	6.0	0.0	6.0	0.0	0	0.7916666666666666
null	0E0	0,03319	0.0	0.0	10.0	2.0	0	0.7791666666666667
null	0E0	0,00661	0.0	0.0	8.0	0.0	0	0.72
O=C1CCC(C(C)C)C1(C)C	0,00373	0E0	12.0	1.0	0.0	0.0	5	0.0
N=C(N)NC=1C=CC=C(O)C=1	4,29E-9	3,4E-11	49.0	5.0	51.0	3.0	0	0.8748148148148149
null	0E0	0,00189	0.0	0.0	10.0	0.0	0	0.798
null	0E0	1,3E-24	0.0	0.0	181.0	28.0	0	0.8374641148325355
null	0E0	0,00224	0.0	0.0	20.0	4.0	0	0.7558333333333334
O=C(N2CCC1(CN(C(=N)O)CCC1)(CC2))CO	0,00687	0,00661	8.0	0.0	8.0	0.0	7	0.9475
O=C(N(C(=O)C)C(C)C)C	0,01905	0,00189	9.0	1.0	10.0	0.0	7	0.9019999999999999
C(=C1CN(CC)C(C)CC1C)C	0,03233	0,00353	8.0	1.0	9.0	0.0	7	0.8122222222222222
C=C(C(=C(C)C)I)C	0,00687	0,00661	8.0	0.0	8.0	0.0	7	0.875
N(=C)C(C(=C)N)=S	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.8333333333333334
null	0E0	0,00279	0.0	0.0	15.0	2.0	0	0.7852941176470588
NCC2(CN(C1=CC=CC(=C1)C)CC2)(CC)	0,00198	0,00189	10.0	0.0	10.0	0.0	0	0.881
O=S(=O)(NC(C1=CC=CC=C1)C2CC2(C))C	0,02386	0E0	6.0	0.0	0.0	0.0	2	0.0
C=2C=C1C=CC=C(C1=C(C=2)C)C	0,03233	0E0	8.0	1.0	0.0	0.0	5	0.0
O=S(=O)(C1=CC=C(N)C=C1)C	0,0007	0,00004	15.0	1.0	16.0	0.0	7	0.8118750000000001
N=C(N1C=NC=C1)C	1,5E-11	1,2E-11	40.0	0.0	40.0	0.0	0	0.9530000000000003
null	0E0	0,00617	0.0	0.0	11.0	1.0	0	0.8866666666666667
OC(=C)C(=CC)CN1CCC1	0,0128	0,01238	7.0	0.0	7.0	0.0	7	0.8614285714285715
N(=C)C(=CC)C(C)C	0,0345	0E0	10.0	2.0	0.0	0.0	5	0.0
OCC(OC)C(O)C	9,4E-25	3,9E-31	128.0	9.0	133.0	4.0	7	0.9111678832116789
NC1CCCCC1(C)	0,00003	1,02E-9	29.0	4.0	33.0	0.0	7	0.9190909090909093
C=C(C)CNC	2,4E-50	1,1E-52	340.0	42.0	342.0	40.0	0	0.911518324607327
N=C(NCCC(=C)N)C	0,00057	0,00054	12.0	0.0	12.0	0.0	0	0.9366666666666665
OC(C)C(CC)CC	0,00215	0,00015	13.0	1.0	14.0	0.0	7	0.8307142857142856
O=S(=O)(N)C2=CC=CC1=C2(C=CC=C1Cl)	0,02386	0,02319	6.0	0.0	6.0	0.0	0	0.7866666666666666
N(=C)C(=CC)C1=CC=CC(=C1)C	0,00198	0E0	10.0	0.0	0.0	0.0	2	0.0
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.7800000000000001
N=NC(C(=N)N)(C)C	0,00687	0,00661	8.0	0.0	8.0	0.0	7	0.9199999999999999
O=C1C(=C)C(=CC)C(=O)N1C(C)C	0,00177	0,00001	16.0	2.0	18.0	0.0	7	0.8977777777777776
NNN	0,00915	0E0	17.0	4.0	0.0	0.0	5	0.0
OC1CCN(C)CC1	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.7966666666666667
OC(C)C(O)C(O)(C)C	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.9283333333333332
null	0E0	0,00166	0.0	0.0	16.0	2.0	0	0.7
NCCC1=CNC(=CC)C1(=CC)	0,01905	0,01834	9.0	1.0	9.0	1.0	0	0.8220000000000001
N(C(=C)C)=C(C)C	5,E-123	1,E-183	885.0	118.0	946.0	57.0	0	0.8937587238285212
O=S(=O)(C1=CC=CC=C1)C(=C)C	0,00492	0E0	14.0	2.0	0.0	0.0	5	0.0
null	0E0	0,01238	0.0	0.0	7.0	0.0	0	0.9228571428571428
C1=CC=C(C=C1)CN(CC)CC	6,23E-7	5,19E-7	47.0	8.0	47.0	8.0	7	0.8127272727272726
null	0E0	0,00202	0.0	0.0	18.0	3.0	0	0.7457142857142858
null	0E0	0,00661	0.0	0.0	8.0	0.0	0	0.8187500000000001
null	0E0	0,01265	0.0	0.0	12.0	2.0	0	0.7421428571428571
N1(CC)CC(CC)C(C)CC1C	0,00198	0,01834	10.0	0.0	9.0	1.0	7	0.8270000000000002
OC(O)CC(O)(C)C	0,0128	0,01238	7.0	0.0	7.0	0.0	7	0.9071428571428571
null	0E0	0,00017	0.0	0.0	30.0	6.0	0	0.791111111111111
N=C(N)N1CCC(C)(C)CC1	0,00014	6,70E-9	26.0	4.0	30.0	0.0	7	0.8706666666666667
C1=C(C(C)C)C(C)(C)CC(C)C1	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.955
OC(=NC)C(O)=C	0,03233	0,00353	8.0	1.0	9.0	0.0	0	0.911111111111111
O=C(C1=CC2=C(N1CC(C=C)=C(Br)S)CC(C)C2C(N)(C)C)N(C)C	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.9333333333333332
N=1C=CN(C=1)CC	0,00373	0,0206	12.0	1.0	11.0	2.0	0	0.8423076923076922
O=C1C2=CC=CC=C2(C(=O)N1C)	0,00001	0,00001	36.0	6.0	36.0	6.0	7	0.8366666666666667
null	0E0	1,40E-6	0.0	0.0	32.0	3.0	0	0.8708571428571429
O=C(C(=N)C)N(C)C	9,E-104	1,E-146	813.0	125.0	861.0	77.0	0	0.9029637526652515
C=C1CC(C)(C)CCC1(C)C(C)(C)C	0,00687	0,00661	8.0	0.0	8.0	0.0	7	0.955
null	0E0	6,52E-9	0.0	0.0	61.0	10.0	0	0.8159154929577465
C=1C=C(C=C(C=1)C)N(CC)CC	0,00021	0,00004	32.0	7.0	33.0	6.0	0	0.7958974358974358
CN1(C)(CCCCC1)	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.91
O=C(NC1=CC=C(OC)C=C1)N2CCCC3(C2)(CCN(C(=O)C)CC3)	0,01905	0E0	9.0	1.0	0.0	0.0	5	0.0
O=S(=O)(NC(=N)N)C(C=C)=CC	0,00198	0,00189	10.0	0.0	10.0	0.0	7	0.8699999999999999
null	0E0	1,7E-11	0.0	0.0	73.0	10.0	0	0.8320481927710845
null	0E0	3,30E-7	0.0	0.0	28.0	1.0	0	0.8006896551724138
N=C(N(C)CC)C	7,2E-16	5,3E-16	66.0	2.0	66.0	2.0	0	0.9342647058823537
null	0E0	0,00661	0.0	0.0	8.0	0.0	0	0.92
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.64
null	0E0	0,00661	0.0	0.0	8.0	0.0	0	0.7975
OC1(C)(CC(C)CCC1(C)(C(C)C))	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.92
C=1NC(=C(C=1CC)C)C	6,9E-11	2,0E-13	76.0	12.0	79.0	9.0	0	0.8910227272727276
C1=CC=C(C=C1)CCN(C)C	8,27E-9	1,45E-7	61.0	10.0	59.0	12.0	0	0.8719718309859158
O=C(OCCN(CC)CC)C	0,03233	0E0	8.0	1.0	0.0	0.0	2	0.0
N=C(C1=CN(C2=CC=CC=C12)C)C	1,7E-11	2,3E-15	56.0	4.0	59.0	1.0	0	0.9150000000000004
C=C(N)C1=CC=C(C=C1)C	0,0345	0,00617	10.0	2.0	11.0	1.0	0	0.8958333333333334
OC(C)(C)C(C)C	0,01327	0,00015	12.0	2.0	14.0	0.0	7	0.8185714285714287
NC1=CC=CC=C1C(C)(C)C	0,00811	0,0077	13.0	2.0	13.0	2.0	7	0.8140000000000001
OC(=NC(C)C)C1=CN=CC=C1	0,0128	0,01238	7.0	0.0	7.0	0.0	0	0.8442857142857143
O=C(N2CCCC1(CN(C(O)=NC(C)C)CC1)(C2))C	0,03233	0E0	8.0	1.0	0.0	0.0	5	0.0
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.7949999999999999
OC=1C(=CC(=CC=1C(C)(C)C)S)C	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.68
N(N)=C(C(=C)C)C(=C)C	0,01114	0,00101	10.0	1.0	11.0	0.0	0	0.8190909090909091
