Smiles	p_value_original	p_value_trained	active_entry_original	inactive_entry_original	active_entry_trained	inactive_entry_trained	category
N(=C)N(C)(C)C	0,02386	0E0	6.0	0.0	0.0	0.0	5
C=C(C(=C(N)C)I)C	0,00368	0E0	9.0	0.0	0.0	0.0	5
OC(C)(C)C(C(=C)C)CC	0,02386	0E0	6.0	0.0	0.0	0.0	5
C(=C1CCN(C)CC1)(C)C	0,00198	0E0	10.0	0.0	0.0	0.0	5
OC(C)C(OC)N2C=NC1=C(N=CN=C12)NCC	0,00198	0E0	10.0	0.0	0.0	0.0	5
O(C)P	4,2E-12	0E0	65.0	6.0	0.0	0.0	5
O=C(C1=CC=CC=C1)N2CCC3(CC2)(CCN(C)CC3)	8,24E-6	0E0	26.0	2.0	0.0	0.0	5
O=C(C1=CC2=C(N1CCS)CCC2C)N3CCCC3	0,02386	0E0	6.0	0.0	0.0	0.0	5
N=C(O)N(C(=C)C)CC	0,00373	0E0	12.0	1.0	0.0	0.0	2
O=C(O)C1CC1(C(NS)C(=C)C)	0,02386	0E0	6.0	0.0	0.0	0.0	2
O=C1C=CC(=NN)C=C1	0,00687	0E0	8.0	0.0	0.0	0.0	5
N(C)C(CC)C(C)(C)C	0,02386	0E0	6.0	0.0	0.0	0.0	5
FC(F)(F)C1=CC=CC=C1C	1,2E-15	0E0	73.0	4.0	0.0	0.0	2
OC(C=1C=CC(=CC=1Cl)Cl)C	0,02386	0E0	6.0	0.0	0.0	0.0	2
OCC(NC)CC	0,00005	0E0	28.0	4.0	0.0	0.0	5
OC(=NC(C)(C)C)C	0,01327	0E0	12.0	2.0	0.0	0.0	5
O=C(O)CN	9,2E-11	0E0	53.0	4.0	0.0	0.0	5
N=1OC(=C(C=1C)C(=C)N)C	0,00001	0E0	18.0	0.0	0.0	0.0	2
OC(=C(C=C)C=C)C	0,00892	0E0	15.0	3.0	0.0	0.0	2
NC(C)S	1,44E-9	0E0	48.0	4.0	0.0	0.0	5
OC(C)(C)CCC	4,5E-13	0E0	99.0	17.0	0.0	0.0	5
OC1(C)(CCC(C(=C)C)C1(C)(C))	0,00215	0E0	13.0	1.0	0.0	0.0	5
